,title,image,url,size,price,rooms,costs,address,availability,online_since,facts,Wohnung,Lage,Sonstiges
0,"MÖBL. u. BEFR. - Charlottenburg 100m2 Altbau 3,5 ZKBB ab 01.08.2020 für bis zu 8 Monate",https://img.wg-gesucht.de/media/up/2020/21/83f25524545e1fe7cc42e5720294480b813117855cb0924f2ccb33b21b11752f_8DC451B2_878A_45DF_9203_18FAA40DBC65.sized.jpeg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Charlottenburg.8022647.html,100.0,1450.0,3.0,"{'Miete:': 1100.0, 'Nebenkosten:': 350.0, 'Sonstige Kosten:': 'n.a.'}","Bismarckstraße, 10625 Berlin Charlottenburg","['frei ab:', '01.08.2020', 'frei bis:', '31.03.2021']",Online: 1 Stunde,"['WG geeignet', 'Altbau', '4. OG', 'möbliert', 'Eigene Küche', 'Badewanne, Dusche', 'Kabel', 'Teppich, Parkett, Dielen, Fliesen', 'Ökostrom', 'Gasheizung', 'gute Parkmöglichkeiten', '2 Minuten zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Balkon, Aufzug']",,,
1,2 bedrooms apartment,https://img.wg-gesucht.de/media/up/2019/29/064b515973a350aae853ae5120efedb840f58355ae4e2ec5bbff403f435a3569_IMG_20190725_WA0001_1564089343998.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.7450517.html,55.0,1280.0,2.0,"{'Miete:': 950.0, 'Nebenkosten:': 80.0, 'Sonstige Kosten:': 250.0, 'Kaution:': 2600.0}","Sonnenallee, 12059 Berlin Neukölln","['frei ab:', '01.09.2020', 'frei bis:', '31.08.2021']",Online: 10 Stunden,"['WG geeignet', 'sanierter Altbau', '2. OG', 'möbliert', 'Eigene Küche', 'Dusche', 'Dielen', 'Zentralheizung', 'Bewohnerparken', '4 Minuten zu Fuß entfernt', 'Waschmaschine, Fahrradkeller']","Two bedrooms flat, brand new, straight after renovation. The flat is fully furnished with a fully equipped kitchen. Each bedroom has a double bed (160x200) and its own sitting area","The flat is located in top location in Neukölln . a very popular area, especially by young people. 4 minute walk to the public transport with a short connection to Hermannplatz.",The price is €1280 per month including all costs (except for cleaning). Minimum stay is 6 months and Anmeldung (registration) is possible.
2,Amazing Apartment in the Heart of Berlin,https://img.wg-gesucht.de/media/up/2020/18/7d39fa0ef0c4c95fbcca2b66d4214ccb31b769011c5ec3fe2444e9d85dca2eec_IMG_2977.sized.jpeg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Mitte.4182119.html,68.0,1235.0,2.0,"{'Miete:': 950.0, 'Nebenkosten:': 285.0, 'Sonstige Kosten:': 'n.a.', 'Kaution:': 1800.0}","Kastanienallee 52, 10119 Berlin Mitte","['frei ab:', '08.06.2020']",Online: 13 Stunden,"['WG geeignet', 'Altbau', '3. OG', 'möbliert', 'Badewanne, Dusche', 'Parkett', 'Zentralheizung', 'gute Parkmöglichkeiten', '1 Minute zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Keller']",Greatest location in Mitte!,Great location in Berlin.,i would like to have someone that will treat the apartment like it is own.
3,Schöne Wohnung im Schillerkiez/ beautiful apartment in Schillerkiez - Neukölln - ab Juni für mind. 6 Monate,https://img.wg-gesucht.de/media/up/2019/01/2ddcb0ec9588451dfdb856c556ffb2a35013df72f7b965172100c67bcdb4e8f1_Flat2.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.7086912.html,53.0,750.0,2.0,"{'Miete:': 600.0, 'Nebenkosten:': 150.0, 'Sonstige Kosten:': 'n.a.', 'Kaution:': 900.0}","Fontanestraße, 12049 Berlin Neukölln","['frei ab:', '01.06.2020', 'frei bis:', '31.12.2020']",Online: 9 Stunden,"['WG geeignet', 'Altbau', '2. OG', 'teilmöbliert', 'Dusche', 'Dielen', 'Ökostrom', 'Zentralheizung', 'gute Parkmöglichkeiten', '1 Minute zu Fuß entfernt', 'Balkon, Gartenmitbenutzung']","Ich vermiete meine Wohnung für ein halbes Jahr. Die Wohnung ist teilmöbliert. Die Küche (ca. 12qm) ist komplett eingerichtet mit Waschmaschine, Kühlschrank und Schränken, verfügt über eine kleine praktische Kammer. Das Bad ist schmal und hat eine Dusche sowie einen eingebauten  Schrank über der Tür, in dem man vieles verstauen kann. Das Schlafzimmer (ca. 10qm) verfügt über einen kleinen hübschen spanischen antiken Schrank, einen erhöhten Lattenrost für Matratzen bis 1,80 m. Die Matratze muss mitgebracht werden. Es passen aber auch kleinere Matratzen auf das Gestell!","Die Wohnung liegt im Schillerkiez, 2min von der Hasenheide entfernt, 8min vom Tempelhofer Feld!",
4,Short time rent,https://img.wg-gesucht.de/media/up/2019/27/8bf858212284c767e0d0351a8b1fd59ca836187550f8a78e405b042468f2d6d6_IMG_7068.sized.JPG,https://www.wg-gesucht.de/wohnungen-in-Berlin-Friedrichshain.7350666.html,60.0,60.0,2.0,"{'Miete pro Tag:': 60.0, 'Nebenkosten:': 'n.a.', 'Sonstige Kosten:': 'n.a.', 'Kaution:': 100.0}","Voigtstr., 10247 Berlin Friedrichshain","['frei ab:', '30.05.2020', 'frei bis:', '05.12.2020', 'Übernachtung']",Online: 12 Stunden,"['Altbau', '7 Minuten zu Fuß entfernt']","PLEASE NOTE: This offer is for daily stays up to 5 days! Dates are quite flexible, so please message me if you wanna stay for a longer weekend","Dates are quite flexible, so please message me if you wanna stay for a longer weekend","Dates are quite flexible, so please message me if you wanna stay for a longer weekend"
5,*****KREUZBERG: quiet & stylish apartment - in lovely BERGMANNKIEZ*****,https://img.wg-gesucht.de/media/up/2016/03/2f97c3a614159120_newsofa1.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Kreuzberg.1415912.html,68.0,1170.0,2.0,"{'Miete:': 1070.0, 'Nebenkosten:': 100.0, 'Sonstige Kosten:': 0.0, 'Kaution:': 0.0}","Schleiermacherstr. 10, 10961 Berlin Kreuzberg","['frei ab:', '01.06.2020', 'frei bis:', '31.07.2020']",Online: 9 Stunden,"['WG geeignet', 'sanierter Altbau', '1. OG', 'möbliert', 'Badewanne', 'Kabel', 'Dielen', 'Gasheizung', 'gute Parkmöglichkeiten', '1 Minute zu Fuß entfernt', 'Waschmaschine, Keller']",,,
6,"Wohnung zur Zwischenmiete -July,Au,Sept- nähe Tempelhofer Feld/Schillerkiez TOP LAGE für dein Sommer in Berlin",https://img.wg-gesucht.de/media/up/2020/20/c881ac8e6446f1e42683d46dc82c0ce1ee6a346b2bb31c18556c0bacf9b5046f_20200523_123241_1_.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.8007985.html,45.0,850.0,2.0,"{'Miete:': 750.0, 'Nebenkosten:': 100.0, 'Sonstige Kosten:': 'n.a.', 'Kaution:': 850.0}","hermannstr 225, 12049 Berlin Neukölln","['frei ab:', '01.07.2020', 'frei bis:', '30.09.2020']",Online: 8 Stunden,"['Altbau', '2. OG', 'möbliert', 'Eigene Küche', 'Eigenes Bad, Dusche', 'Laminat', 'Ökostrom', 'schlechte Parkmöglichkeiten', 'Waschmaschine']",---English below---,Die Wohnung befindet sich auf der Hermannstraße gegenüber die U-Bahn Fahrzeug Boddinstraße und die Kreuzung mit Flughafenstrase.,Keine Haustiere sind erlaubt
7,Zwei-Zimmerwohnung in Charlottenburg zur Untermiete,https://img.wg-gesucht.de/media/up/2020/21/6a6419825a4316a25e57bad1965dcbda68e54f9f35bdaa97dc78291bc0ef41c6_Wohnzimmer.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Charlottenburg.8022255.html,65.0,905.0,2.0,"{'Miete:': 650.0, 'Nebenkosten:': 145.0, 'Sonstige Kosten:': 110.0}","Herderstr. 15, 10625 Berlin Charlottenburg","['frei ab:', '20.07.2020', 'frei bis:', '30.09.2020']",Online: 13 Stunden,"['Altbau', '1. OG', 'möbliert', 'Eigene Küche', 'Badewanne, Dusche', 'Kabel', 'Laminat, Dielen, PVC, Fliesen', 'Ökostrom', 'Fernwärme', 'gute Parkmöglichkeiten', '5 Minuten zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Keller, Fahrradkeller']",,,
8,Nett möblierte 2-Zimmer-Wohnung - WiFi - unbefristet - Wohnung 6,https://img.wg-gesucht.de/media/up/2020/21/e20949c83a2937b8503803b9b5d0a8e3ddd946e8280bc3aa30c832387f50f788_2020_05_22_grosses_Zimmer.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Pankow.7927183.html,47.0,1090.0,2.0,"{'Miete:': 890.0, 'Nebenkosten:': 200.0, 'Sonstige Kosten:': 0.0, 'Kaution:': 2180.0}","Garibaldistr. 41, 13158 Berlin Pankow","['frei ab:', '31.05.2020']",Online: 7 Stunden,"['Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.', 'Bedarfsausweis, V: 40kW h/(m&sup2a), Gas, Baujahr 1880, Energieeffizienzklasse A', 'WG geeignet', 'sanierter Altbau', '1. OG', 'möbliert', 'Eigene Küche', 'Dusche', 'Kabel', 'Laminat, Fliesen', 'Ökostrom', 'Zentralheizung', 'gute Parkmöglichkeiten', '2 Minuten zu Fuß entfernt', 'Waschmaschine, Spülmaschine']",Please read for the English version below.,Please read for the English version below.,Bitte einen Besichtigungstermin vereinbaren!
9,Penthouse-Wohnung sucht 1 Mitbewohner(in),https://img.wg-gesucht.de/media/up/2020/21/f39c9b1d6f3b62326d71a2a8445f7534e1391e4fd223c5574243bcdf20fd80a3_159086443325525574078.sized.JPEG,https://www.wg-gesucht.de/wohnungen-in-Berlin-Johannisthal.8022400.html,100.0,700.0,4.0,"{'Miete:': 700.0, 'Nebenkosten:': 0.0, 'Sonstige Kosten:': 0.0, 'Kaution:': 0.0, 'Ablösevereinbarung:': 0.0}","Eisenhutweg 00, 12487 Berlin Johannisthal","['frei ab:', '01.06.2020', 'frei bis:', '30.08.2020']",Online: 10 Stunden,"['Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.', 'Solar', 'WG geeignet', 'Mehrfamilienhaus', '1. OG', 'möbliert', 'Badmitbenutzung, Badewanne, Dusche', 'Fliesen, Fußbodenheizung', 'Ökostrom', 'Zentralheizung', 'Waschmaschine, Spülmaschine, Terrasse, Balkon']",* Mietzeit maximal 1 Monat* zusätzlich Trockner vorhanden * gute Parkmöglichkeiten,......,"....,"
