,title,image,url,area,total_price,num_rooms,Miete,Nebenkosten,Sonstige Kosten,address,from_date,to_date,online_since,facts,Wohnung,Kaution,Lage,Sonstiges,Ablösevereinbarung
0,"Big, sunny, cozy apartment | Heart of Neukölln + big balcony",https://img.wg-gesucht.de/media/up/2019/49/246b67e6b3a1d49fa4d71d84da20b082d601e0ab8c25b4640009bb64f28b6323_20191210_134124.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.7229595.html,84.0,990.0,3.0,680.0,310.0,n.a.,"Thomasstr. 30, 12053 Berlin Neukölln",31.05.2020,01.07.2020,2 Stunden,"['WG geeignet', 'Neubau', '4. OG', 'möbliert', 'Eigene Küche', 'Badewanne, Dusche', 'Parkett, Laminat, Dielen, PVC, Fußbodenheizung', 'Ökostrom', 'Zentralheizung', 'gute Parkmöglichkeiten', '3 Minuten zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Balkon, Aufzug']","Hallo,                                     
 
:::::::::::::::english description below::::::::::::::: 
 
unsere sonnige, geräumige und wunderschöne 3-Zimmer-Wohnung ist ab 1. Juni frei (Wir sind flexibel +/-3Tage). Die Wohnung ist erst einmal für den gesamten Juni verfügbar, eventuell auch noch 1-2 Monate länger, da wir jobtechnisch die nächsten Monate ziemlich viel unterwegs sein werden. Das könnten wir aber mit dir/euch bei längerfristigen Interesse flexibel abklären. 
 
Die Wohnung ist WG-geeignet. Die ÖPNV-Anbindung ist hervorragend: U7, U8, die Ringbahn S41/S42 und diverse Buslinien sind erreichbar in 5-10 min. 
 
Die Lage der Wohnung ist perfekt. Sie liegt fußläufig des riesigen Tempelhofer Feldes, des Körnerparks, der Hasenheide,  sowie zum Schillerkiez, Rixdorf & Kreuzkölln gelegen. Kurz gesagt, ihr wohnt im Herzen Neuköllns. Der nächste Park ist 1 min zu Fuß entfernt, wo ihr nach belieben joggen, Yoga, oder einfach nur relaxen könnt. 
 
2 große Bioläden sind 5 Fußminuten entfernt, genauso REWE, Aldi, Lidl, sowie zwei große türkische Supermärkte.  
Wie haben superschnelles WLAN, einen großen Balkon mit Sofa, eine hochwertige Küchenausstattung mit Spülmaschine, Waschmaschine, Badewanne, Fahrstuhl, usw.  
PS: Die süße Katze auf dem Bild wohnt seit 3 Monaten woanders ;) 
 
ganz Wichtig: KEINE PARTIES oder ähnliches! 
Die Höhe der Kaution ist nach Vereinbarung und muss bei Schlüsselübergabe bezahlt werden. 
 
 
Wir freuen uns auf Eure Besichtigung und darauf, Euch kennen zu lernen. 
 
Liebe Grüße  
Elia & Micha  
 
 
We're renting out our beautiful apartment in the heart of Neukölln.  
It's free from June 1st for the whole month (we are flexible on the date: +/-3 days), but there might be a good chance to rent it out for a longer period, for example also July and maybe even August, since we will be travelling a lot in the next weeks due to our work.  
 
The apartment is situated in the heart of Neukölln, very close various parks like TEMPELHOFER FELD, KÖRNERPARK, historic Rixdorf, various clubs and bars like Schwuz or Griessmühle or Klunkerkranich - just 5-10 min of walking to each destination. 
The closest park is just 1 min of walking away, where you may parctice yoga, jogging or just chill out. 
 
2 big organic supermarkets are 5 min to walk, same goes for Aldi, Lidl, REWE and 2 big turkish supermarkets. 
 
Public transportation is also just 5 min to walk: closest is the Ubahn U7 and U8, also various busses. Ringbahn S41/S42 is aprox 10 min to walk.  
 
We have fastest WIfi, a fully equipped kitchen, a big balcony with a sofa, a bathtub and an elevator...more than you need really.  
PS: The cat on the picture doesnt live here anymore since 3 months ;) 
 
Please note: Absolutely NO PARTIES are allowed inside the apartment due to our neighbours and the current restrictions. 
A deposit has to be made when moving in.  
 
We're looking forward to hear from you and would be happy to give you a showing of the apartment. 
 
All the best, 
Elia & Micha",,,,
1,Newly renovated 2 rooms flat in Neukölln,https://img.wg-gesucht.de/media/up/2019/48/a6388764252ecf9c5df31ea96460c32f437b53312c492e5c246c8ada86b91848_IMG_20191208_WA0000.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.7722653.html,50.0,1290.0,2.0,890.0,150.0,250.0,"Stuttgarter Strasse, 12059 Berlin Neukölln",01.09.2020,31.08.2021,12 Stunden,"['Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.', 'Verbrauchsausweis, V: 167kW h/(m&sup2a), Gas, Baujahr 1905, Energieeffizienzklasse A', 'WG geeignet', 'sanierter Altbau', '1. OG', 'möbliert', 'Eigene Küche', 'Dusche', 'Dielen', 'Bewohnerparken', '2 Minuten zu Fuß entfernt', 'Waschmaschine, Fahrradkeller']","This is a two bedrooms flat which was renovated recently. Completely furnished with a fully equipped kitchen including all the needed facilities.  There is a double bed (160x200) and seating area in each bedroom. (there is no common living room, the only common areas are the kitchen and bathroom). 
There are double layered curtains (blackout) in both rooms. 
 
50 sqm,  located on the first floor of the inner building. Suitable for 2 people, or can be shared also by one single and one couple - one bedroom is smaller than the other one. 
Small bedroom: (13 sqm) : double bed (160x200), night table with reading lamp, wardrobe, two armchairs with coffee table, carpet, standing lamp. 
Large Bedroom: (19 sqm) : double bed (160x200) , night tables with reading lamps, wardrobe and drawer commode, desk with shelves above , office chair. Seating area with sofa, coffee table, armchair and carpet. 
Double layered curtains (blackout) in both rooms. 
 
Fully equipped kitchen with complete kitchenware, electric stove, oven, family size fridge, washing machine, microwave,  electric kettle and toaster. 
There is also a service closet with vacuum cleaner, iron, iron board, laundry rack hanger and cleaning tools. 
 
Bathroom:  shower, sink and toilet. 
WiFi is available in all rooms.",2600.0,"Central location, between Herzbergplaz and Rathaus Neukölln. Parallel to the Weserstrasse with its many bars, cafes etc. 
 2 minute walk to the public transport (on Sonnenallee) with a short connection to Hermannplatz. 
 
It's 10 min walk to Rathaus Neukölln station with shopping mall Arcaden-Neukölln with lots of brands, cinema, supermarkets, pharmacy, etc.","The price is €1300 per month including all costs (except for cleaning). Minimum stay is 6 months and Anmeldung (registration) is possible. 
 
Required documents: passports or IDs, work contract or copy of registration for studies, or any other proof of income. 
 
The apartment is very comfortable, fully furnished and totally equipped including blankets, pillows, bed linen and towels. There are two separate bedrooms which makes it perfect for 2 people to share.",
2,Schöne Wohnung im Schillerkiez/ beautiful apartment in Schillerkiez - Neukölln - ab Juni für mind. 6 Monate,https://img.wg-gesucht.de/media/up/2019/01/2ddcb0ec9588451dfdb856c556ffb2a35013df72f7b965172100c67bcdb4e8f1_Flat2.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.7086912.html,53.0,750.0,2.0,600.0,150.0,n.a.,"Fontanestraße, 12049 Berlin Neukölln",01.06.2020,31.12.2020,14 Stunden,"['WG geeignet', 'Altbau', '2. OG', 'teilmöbliert', 'Dusche', 'Dielen', 'Ökostrom', 'Zentralheizung', 'gute Parkmöglichkeiten', '1 Minute zu Fuß entfernt', 'Balkon, Gartenmitbenutzung']","Ich vermiete meine Wohnung für ein halbes Jahr. Die Wohnung ist teilmöbliert. Die Küche (ca. 12qm) ist komplett eingerichtet mit Waschmaschine, Kühlschrank und Schränken, verfügt über eine kleine praktische Kammer. Das Bad ist schmal und hat eine Dusche sowie einen eingebauten  Schrank über der Tür, in dem man vieles verstauen kann. Das Schlafzimmer (ca. 10qm) verfügt über einen kleinen hübschen spanischen antiken Schrank, einen erhöhten Lattenrost für Matratzen bis 1,80 m. Die Matratze muss mitgebracht werden. Es passen aber auch kleinere Matratzen auf das Gestell! 
Das Wohnzimmer ist ca. 23qm groß und wird mit einer Designer-Couch vermietet. Einen Schreibtisch gibt es auch. Und einen Balkon zum ruhigen Hinterhof raus. Die Hasenheide, Tempelhofer Feld und Freibad Neukölln sind einen Steinwurf entfernt! 
 
Bitte nur melden wenn Interesse an einer ganzjährigen Anmietung besteht! 
 
Viele Grüße, 
Sabrina 
 
I am renting out my partly furbished apartment in Neukölln- Schillerkiez. The kitchen has a washing machine, fridge and cupboard and a small chamber for storing things. The bathroom is small and has a shower and a cupboard above the door for storage. The bedroom has a small antique Spanish wardrobe and there is a bed-frame which can hold matresses of all sizes - you have to bring the matress yourself. The living room is spacious and has a beautiful designer-couch. The balcony as the whole apartment is at a very quite backyard. You can use the Garden as well. 
 
Please only contact me if you want to stay 6 months. 
 
All my best, 
 
Sabrina",900.0,"Die Wohnung liegt im Schillerkiez, 2min von der Hasenheide entfernt, 8min vom Tempelhofer Feld!",,
3,"Treptow - wunderschöne 2-Zimmerwohnung mit Balkon, eigenem Garten und Dielen direkt am Plänterwald",https://img.wg-gesucht.de/media/up/2020/21/9a2d40384e55929aca542bc3c5dcb37c19a389dc1bf1912cea19e0b79ecb5bba_DSC05668.sized.JPG,https://www.wg-gesucht.de/wohnungen-in-Berlin-Plaenterwald.7251126.html,55.0,633.0,2.0,448.0,185.0,n.a.,"..... ..., 12437 Berlin Plänterwald",01.07.2020,,6 Stunden,"['Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.', 'Baujahr 1925', 'WG geeignet', 'sanierter Altbau', 'Hochparterre', 'Badewanne', 'Dielen, Fliesen', 'Zentralheizung', 'gute Parkmöglichkeiten', '1 Minute zu Fuß entfernt', 'Balkon, Garten, Gartenmitbenutzung, Keller']","* BITTE vorerst keine Anfragen mehr senden - wir nehmen aktuell erst einmal Kontakt mit allen Interessent*innen auf * 
 
 
Wir suchen spätestens zum 15. Juli (gerne auch 2 oder 3 Wochen früher) für unsere 2-Zimmerwohnung am Plänterwald Nachmieter*innen. 
 
BITTE BEACHTET UND MELDET EUCH NUR, WENN FOLGENDES AUF EUCH ZUTRIFFT: - für dich/euch sollte akzeptabel sein, dass wir die Wohnung ausschließlich unrenoviert abgegeben (wie wir sie auch vor einem Jahr übernommen haben) und dies auch schriftlich festhalten - das Haushaltsnettoeinkomen der Nachmieter*innen muss ÜBER 1900,- liegen, was 3 Warmmieten entspricht - leider ist das eine Vorgabe der Hauseigentümerin auf die wir keinen Einfluss haben und nicht verhandelbar - eine rein schriftliche Bürgschaft wird nicht akzeptiert, ebenfalls Vorgabe der Hauseigentümerin, ein*e Bürg*in müsste als Vertragsteilnehmer*in in den Mietvertrag aufgenommen werden mit allen Konsequenzen, die das hat (Meldepflicht, Zweitwohnsitzsteuer, Untervermietung usw.) - ihr habt die komplette Anzeige gelesen :) 
 
Unsere Wohnung ist ca. 55 m2 groß, hat eine Küche mit Balkonzugang und kleiner Kammer sowie ein Bad mit Fenster und Badewanne. Alle Zimmer, außer das Bad, haben wunderschöne abgezogene Dielen. Die beiden Zimmer sind einzeln vom kleinen Flur aus begehbar und unterschiedlich groß. Vom großen Zimmer aus gibt es ebenfalls einen Zugang zum Balkon. Unser Balkon ist riesig, mindestens 6 Meter lang und war mit ein Grund, weshalb wir uns sofort in die Wohnung verliebt haben. Er geht in den ruhigen Hof. Die Beheizung der Wohnung und die Warmwasserversorgung erfolgen zentral. 
Das Highlight der Wohnung (zumindest für uns) ist der dazugehörige ca. 25 m2 große Gartenanteil, der sich hinter dem Haus befindet und euch allein gehört. Hier könnt ihr gärtnern, den Marillenbaum pflegen und all das tun, was ein Garten bietet, der mitten in der Stadt liegt. 
Für einen Abstand von 150,- lassen wir den Kühlschrank, einen Kleiderschrank und kleinere Möbel in der Wohnung. 
 
Die Wohnung befindet sich im Stadtteil Plänterwald im Bezirk Treptow. Der Plänterwald liegt direkt vor der Haustür gefolgt vom Treptower Park. Die Gegend ist eher ruhig. Wer es bunt, wild und großstädtisch haben möchte, ist in 15 Minuten in Friedrichshain, mit dem Rad bestimmt noch schneller (ich selbst habe viele Jahre in Friedrichshain gewohnt und liebte die Nähe zu unserer Wohnung aber auch die Möglichkeit, dem Trubel zu entfliehen) und in 12 Minuten mit der direkten Busverbindung am Schlesischen Tor (Kreuzberg, für die Nichtberliner*innen). Der Bus fährt übrigens direkt um die Ecke ab und bringt dich/euch in 4 Minuten zum Treptower Park oder in die andere Richtung in 20 Minuten zum S-Bahnhof Schöneweide. 
 
Hier nochmal alle Daten auf einen Blick: 
 
Kaltmiete (momentan): 448,79 
Warmmiete inkl. Gartenanteil (momentan): 633,00 
Kaution: 3 x Kaltmiete 
Zimmer: 2 
Größe: 55 m2 
WG geeignet: Ja (bedingt, durch die unterschiedlich großen Zimmer) 
Gartenanteil: Ja, ca. 25 m2 
Lage im Haus: Hochparterre 
Küche: Ja 
Spüle, Herd und Backofen: Ja 
Kammer in der Küche: Ja 
Wamwasser + Heizung: zentral 
Keller: Ja (trocken und groß) 
Bad mit Badewanne: Ja 
Bad mit Fenster: Ja 
Balkon: Ja (riesig :) ) 
Dielen: Ja 
Zum Plänterwald: einfach über die Straße 
Zum Treptower Park: zu Fuß 9 Minuten, mit dem Bus 4 Minuten (direkte Busverbindung) 
Nach Friedrichshain: 15 Minuten 
Nach Kreuzberg: 12 Minuten (direkte Busverbindung) 
Zum S-Bahnhof Plänterwald: 9 Minuten zu Fuß 
Zum S-Bahnhof Schöneweide: 20 Minuten (direkte Busverbindung) 
 
Wenn du dir vorstellen kannst/ihr euch vorstellen könnt, unsere Wohnung zu übernehmen, dann melde dich/meldet euch unter plaenterwald at mailbox . org.  
Wir versuchen, sehr zeitnah zu antworten. 
Schreibe/schreibt bitte in den Betreff oder an den Anfang deiner Nachricht hier ""Frieda"", damit wir wissen, dass du/ihr mindestens bis hier hin gelesen hast/habt ;) 
Gerne darfst du/dürft ihr uns auch schon in 1-2 Zeilen etwas über dich/euch verraten (selbstverständlich optional). Da wir zur Zeit nicht in Berlin sind, werden wir nur wenige Besichtigungen der Wohnung machen und können daher nicht flexibel auf Besichtigungswünsche bzw. Termine eingehen. Wir machen KEINE ""Massenbesichtigungen"". 
Du hast/ihr habt noch Fragen? Na dann her damit :) 
 
Wir freuen uns auf dich/euch. Catryn & Benjamin.",1344.0,,,150.0
4,2-Zimmer-Wohnung in Friedrichshain zur Zwischenmiete möbliert - 2 room apartment for short-term,https://img.wg-gesucht.de/media/up/2020/21/e0ae42d0d99fd893c3fc8a28260c9a477aded00d7c2d2dda7dfdc928e960cf6c_159074288856356311829.sized.JPEG,https://www.wg-gesucht.de/wohnungen-in-Berlin-Friedrichshain.8019875.html,59.0,1000.0,2.0,1000.0,0.0,0.0,"Simon-Dach-Str. 33, 10245 Berlin Friedrichshain",01.06.2020,30.11.2020,16 Stunden,"['sanierter Altbau', '1. OG', 'möbliert', 'Eigene Küche', 'Badewanne, Dusche', 'Dielen', 'Zentralheizung', 'Waschmaschine, Spülmaschine']","I am leaving Germany for half a year and therefore subletting my flat. 
min. 1 month up to 4 months. Fully furnished with kitchen.  
 
Included: 
 
wifi 
washing machine 
TV -  you can log in with your own netflix or amazon prime account 
fridge & freezer 
dishwasher 
towels and linen available 
 
1000 EUR everything included, no additional costs. 
 
No documents like Schufa required",500.0,"The apartment is located in the popular ""Simon Dach Kiez"" in Friedrichshain. The apartment is nearby normal and organic supermarkets, bars, fancy shops and cinema. The U-Bahn U5 U1 and U3 and S-Bahn Warschauer Straße and Ostkreuz are close and also tram M13 and bus 240. In summer you can chill in nearby parks and the river Spree.",,
5,"Furnished, sunny, 1-2 people, near Weichselplatz",https://img.wg-gesucht.de/media/up/2018/46/b8dc1fd696f09da0d51137e6ebdbeead52045e555c436e9c3ac01bfd638a4028_DSC00613.sized.JPG,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.7015665.html,42.0,850.0,2.0,850.0,0.0,0.0,"Elbestraße, 12045 Berlin Neukölln",20.06.2020,15.09.2020,3 Stunden,"['sanierter Altbau', '4. OG', 'möbliert', 'Eigene Küche', 'Dusche', 'Dielen', 'Ökostrom', 'Zentralheizung', 'gute Parkmöglichkeiten', '5 Minuten zu Fuß entfernt', 'Waschmaschine']","ENGLISH 
 
Beautiful furnished altbau, east-facing with large high windows and lots of sun. 
 
Available June 20 - Sept 15 
850/mo. 
Suitable for a single or a couple 
 
Bedroom with double bed + bedside table, office area (desk and chair), living area (couch, coffee table), armoire 
Newly renovated bathroom with shower 
Fully equipped renovated kitchen with electric oven, table, chairs 
 
Green surroundings, quiet street, 5 minutes on foot to U-Bahn Rathaus Neukölln, 2 minutes to Sonnenalle bus M41, 2 minutes to supermarket, 1 to canal, 2 minutes to various restaurants and bars. 45 minutes with public transit to Tegel and Schönefeld Airports. 
 
Absolutley no smoking, no pets, and no parties. No Anmeldung. 
CORONVIRUS: NO ADDITIONAL GUESTS FOR DURATION OF OCCUPANCY UNTIL FURTHER NOTICE. 
 
DEUTSCH 
Schöne, helle, möblierte sanierte Altbau 
 
Verfügbar vom 20. Juni bis zum 15. September 
850 Euro/Monat 
Für eine Person oder ein Paar geigenet. 
 
Schlafzimmer mit großem Doppelbett, Bürogebiet (Schreibtisch, Stuhl), Wohngebiet (Sofa, Kaffeetisch), Kleiderschrank 
Sanierte Küche mit elektrischem Backofen, Esstisch, Stühle 
Saniertes Bad mit Dusche 
 
1 Minute zum Kanal, 5 Minuten zur U-Bahn Rathaus Neukölln, 2 Minuten zum Supermarkt und verschiedene Bars und Restaurants (zu Fuß) 
 
Rauchen nicht erlaubt. Keine Tiere. Keine Feier. Keine Anmeldung. 
CORONAVIRUS: WÄREND DER BELEGUNG, KEIN BESUCH VON ZUSÄTZLICHEN GÄSTEN BIS AUF WEITERES.",0.0,,,
6,2 bedrooms apartment,https://img.wg-gesucht.de/media/up/2019/29/064b515973a350aae853ae5120efedb840f58355ae4e2ec5bbff403f435a3569_IMG_20190725_WA0001_1564089343998.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.7450517.html,55.0,1280.0,2.0,950.0,80.0,250.0,"Sonnenallee, 12059 Berlin Neukölln",01.09.2020,31.08.2021,15 Stunden,"['WG geeignet', 'sanierter Altbau', '2. OG', 'möbliert', 'Eigene Küche', 'Dusche', 'Dielen', 'Zentralheizung', 'Bewohnerparken', '4 Minuten zu Fuß entfernt', 'Waschmaschine, Fahrradkeller']","Two bedrooms flat, brand new, straight after renovation. The flat is fully furnished with a fully equipped kitchen. Each bedroom has a double bed (160x200) and its own sitting area 
 
55 sqm 2 rooms flat, located on the second floor (no lift), of the inner building.  Suitable for  2 people to share couple, or can be shared also for 2 couples. 
Small bedroom: (12 sqm) : double bed (160x200) , night tables with reading lamps, wardrobe and drawer commode,  Small sofa with coffee table, carpet, standing lamp. 
Large Bedroom: (20 sqm) : double bed (160x200) , night tables with reading lamps, wardrobe and drawer commode, desk with shelves above , office chair. Sitting area with sofa, coffee table, armchair and carpet. 
Double layered curtains (blackout) in both rooms. 
 
Fully equipped kitchen with complete kitchenware, electric stove, oven, family size fridge, washing machine, microwave, coffee maker, kettle and toaster. 
There is a service closet with vacuum cleaner, iron, iron board, washing hanger and cleaning tools. 
 
Bathroom: the shower is separate from the toilet. 
 
There is wifi in the whole apartment.",2600.0,"The flat is located in top location in Neukölln . a very popular area, especially by young people. 4 minute walk to the public transport with a short connection to Hermannplatz. 
 
The flat is situated centrally with many restaurants, bars, cafés and shops within a walking distance. 10 min walking to Rathaus Neukölln,  with Shopping mall Arcaden-Neukölln with lots of brands, cinema, supermarkets, pharmacy, etc.","The price is €1280 per month including all costs (except for cleaning). Minimum stay is 6 months and Anmeldung (registration) is possible. 
 
Required documents: passports or IDs, work contract or copy of registration for studies, or any other proof of income. 
 
The apartment is very comfortable, fully furnished  and totally equipped including blankets, pillows, bed linen and towels. There are two separate bedrooms which makes it perfect for 2 people to share.",
7,sehr schöne 2 zimmer whg im hinterhaus mit balkon,https://img.wg-gesucht.de/media/up/2015/31/fef1c67251532030_img_20150804_wa0041.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Friedrichshain.5153203.html,52.0,1070.0,2.0,790.0,280.0,n.a.,"Wilhelm Stolze Str. 19, 10249 Berlin Friedrichshain",31.05.2020,15.03.2021,3 Stunden,"['Altbau', '3. OG', 'möbliert', 'Badewanne', 'Kabel', 'Laminat', 'gute Parkmöglichkeiten', '1 Minute zu Fuß entfernt', 'Balkon']","Sehr schöne 2-zi-garten-whg im 3. stock gelegen mit großen Balkon in sehr zentraler lage von friedrichshain ( nähe petersburger str. ) und trotzdem total ruhig gelegen. Sie sind in 5 minuten fußweg in der Warschauer Straße und in 10 min fußweg im Simon-Dach-Viertel. Viele Clubs und viel Nachtleben im näheren Umfeld z.B. Berghain ectra... 
Die Whg ist liebevoll eingerichtet und wird auch nur an leute die Spaß haben an schönen Einrichtungen weitergegeben. 
Die Wohnung ist komplett neuwertig möbliert und hat ein kleines Schlafzimmer einen flur ein Wohnzimmer mit großzügigem balkon. Das wannenbad ist innenliegend. Die küche ist voll funktionsfähig leider ohne Geschirrspüler. 
Die schönrenovierte 2-zi.-whg kostet für ne Einzelperson incl. Jeglicher nk. ( strom,Wasser,internet 50000 ectr. ) 830€ komplett warm. Für ein Paar 880 € incl jeglicher NK.sollte noch ne Waschmaschine gewünscht werden dann nochmals 25€ pro Monat extra. Das heißt einfach nur mit dem Koffer einziehen.die Wohnung kann sofort angesehen werden und kann ab den 01.08.2017 angemietet werden. Bitte nur melden für interessenten ab minimum 1Jahr. Bitte nur ernstgemeinte Interessenten. 
Bei Interesse ruft mich an. Bin jederzeit telefonisch zu erreichen.  
Mit freundlichen Grüßen Marko D.",1400.0,,,
8,"Wohnung zur Zwischenmiete -July,Au,Sept- nähe Tempelhofer Feld/Schillerkiez TOP LAGE für dein Sommer in Berlin",https://img.wg-gesucht.de/media/up/2020/20/c881ac8e6446f1e42683d46dc82c0ce1ee6a346b2bb31c18556c0bacf9b5046f_20200523_123241_1_.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Neukoelln.8007985.html,45.0,850.0,2.0,750.0,100.0,n.a.,"hermannstr 225, 12049 Berlin Neukölln",01.07.2020,30.09.2020,13 Stunden,"['Altbau', '2. OG', 'möbliert', 'Eigene Küche', 'Eigenes Bad, Dusche', 'Laminat', 'Ökostrom', 'schlechte Parkmöglichkeiten', 'Waschmaschine']","---English below--- 
Hallo, 
 
mein Freund und ich bieten unsere Wohnung für den Sommer von den 01.06 bis zum 30.09 zur Zwischenmiete an, da wir in die Schweiz zur Gastarbeit fahren werden. 
Die  Wohnung besteht aus 2 Schalfzimmer, Bad mit Dusche, Küche und Flur. 
Das kleineste Schalfzimmer wird NICHT untervermietet, wir werden unsere Sache dort stehen lassen und das Zimmer wird zugeschlossen. 
 
Zur Zwischenmiete sind also: 
 
Größe Schlafzimmer: Hochbett für 2 Personen /  Couch / Fernseher Schirm / Schrank mit Spiegel / Kommode / Schreibtisch 
Flur: Putzsachen / 2 Fahrradaufhänger 
Bad: Dusche und Waschmaschine 
Küche: mobiliert 
 
Die Wohnung ist sehr komfortabel und kühl im Sommer, auch wenn die Temperaturen in der Stadt 35 Grad erreichen. 
 
Hi, 
 
my friend and I offer our apartment for the summer 2020, from the 1st of June to 30th September to sublease, as we will go to Switzerland for guest work. 
The apartment consists of 2 bedrooms, bathroom with shower, kitchen and hall. 
The smallest bedroom is NOT sublet, we will leave our thing there and the room will be locked. 
 
To sublet are: 
 
Big bedroom/living room: loft bed for 2 people / couch / TV screen / closet with mirror / chest of drawers / desk 
Hallway: cleaning supplies / 2 bike hangers 
Bathroom: shower / washing machine 
Kitchen: mobilized 
 
The apartment is very comfortable and cool in summer even when the temperatures in the city reach 35 degrees",850.0,"Die Wohnung befindet sich auf der Hermannstraße gegenüber die U-Bahn Fahrzeug Boddinstraße und die Kreuzung mit Flughafenstrase. 
Tempelhofer Feld - Hasenheide - Schillerkiez 5 Minuten Geh Füß. 
Die Wohnung befindet sich in den zweiten Hinterhof: zentral Lage aber relativ ruhig. 
 
The apartment is on Hermannstrasse opposite the Boddinstrasse subway vehicle and the intersection with Flughafenstrasse. 
Tempelhofer Feld - Hasenheide - Schillerkiez 5 minutes walk feet. 
The apartment is in the second back yard: central location but relatively quiet.","Keine Haustiere sind erlaubt 
 
Nicht Raucher sind bevorzugt 
 
No pets  
 
non- smokers are preferred",
9,3 Zimmer-Wohnung in Friedrichshain mit Katzen,https://img.wg-gesucht.de/media/up/2020/21/2b4cbd4c323f453fde1d0b6c9a748920c5ece555f2a5f7d9b85db78bcb1d89b5_image1.sized.jpeg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Friedrichshain.8022671.html,80.0,800.0,3.0,600.0,200.0,n.a.,"Müggelstraße, 10247 Berlin Friedrichshain",27.06.2020,01.08.2020,2 Stunden,"['WG geeignet', 'Altbau', '4. OG', 'möbliert', 'Badewanne', 'Dielen', 'gute Parkmöglichkeiten', '2 Minuten zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Balkon']","OUR FLAT IS AVAILABLE...Wohnung zu vermieten: 
 
Ende J U N I - Anfang A U G U S T 2020 (Zeitraum ist verhandelbar...) 
 
80 m² 1 Schlafzimmer, 1 Kinderzimmer, 1 Wohnzimmer, Bad, Küche und Balkon mit Sonnengarantie. 
 
Die Wohnung befindet sich in Friedrichshain, Nähe Ostkreuz 
 
Es können Paare, Freunde, Familien hier wohnen.... 
 
Einzige Bedingung: Während der Zeit brauchen unsere 2 Katzen jemanden der sie umsorgt. 
 
Preis ist verhandelbar 
 
Mehr Infos gibt es, wenn ihr mir eine private Nachricht schickt. 
 
Herzlichst 
 
Katharina",,"Wir sind verkehrstechnisch super angebunden. Tram 13 sowie Bus 240 liegt nur wenige Meter von der Wohnungstür entfernt. S Ostkreuz und S Frankfurter Allee liegen 10 Minuten zu Fuß entfernt. Supermärkte, Späti´s sowie Bäcker und Apotheke liegen in direkter Umgebung. Park, Cafe´s, Bars, Restaurants, Clubs, Kneipen etc. Alles gibts hier ;)",,
