,title,image,url,area,total_price,num_rooms,Miete,Nebenkosten,Sonstige Kosten,Kaution,address,from_date,to_date,online_since,facts,Wohnung,Lage,Sonstiges,Ablösevereinbarung
0,Cosy safe flat during covid 19 with a reduced rent,https://img.wg-gesucht.de/media/up/2018/22/cb65e88567179530_img_20180602_wa0021.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Friedrichshain-Kreuzberg.6717953.html,44.0,851.0,1.0,751.0,99.0,1.0,1200.0,"Rigaerstr 000, 10247 Berlin Friedrichshain-Kreuzberg",09.06.2020,31.01.2021,2 Minuten,"['Altbau', '1. OG', 'möbliert', 'Badewanne', 'Kabel', 'Parkett, Dielen, Fliesen', 'Fernwärme', '5 Minuten zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Gartenmitbenutzung, Fahrradkeller']","Viewings per request please text and confirm  
(siehe unten) 
1 bedroom flat. Sitting room kitchen. Spacious bedroom with attic bed. 
Bath with bathtub. A lovely place to calm down and feel home 
next viewings will be held.  
Please mail me to arrange a suitable time.  
 
PS.: a lovely space for someone who respects the interior and needs his/her privacy to charge the batteries. IT is very quiet and lovely coffee shops two min away.","5 min away from S-Bahn/ U-Bahn & Tram 
Grocery stores, shopping mall, bars, restaurants, flea market, vintage stores and a lake the ""Rummelsburger Bucht"" nearby.  
Boxhagener Platz is very lovely with different farmer markets. Little arthouse cinemas nearby. Organic stores and a Library. Parks and food markets. Bikes to rent","Via mail or whats app.  
Non-smoking, no pets, quiet, reliable, tidy guests, please. 
Preferably longterm stay / longer than a year. 
7 pm or midday on weekends 
next viewings will be held these days 
7 pm Fridays or midday on weekends. It is a lovely flat for a single person or a quiet couple, no flat share. I won't answer on flatshare request anymore.",
1,Gorgeous Top Floor Apartment with Sun Filled Terrace (RMS8),https://img.wg-gesucht.de/media/up/2020/22/013547588ab3f3846c197b6c80fcf2f7cdd2b3cb6b37eb6a07e02fa30a04cc82_9_Living_room.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Kreuzberg.8028786.html,85.0,1690.0,2.0,1690.0,n.a.,n.a.,1690.0,"Riemannstr 8, 10961 Berlin Kreuzberg",09.06.2020,06.08.2021,10 Minuten,"['sanierter Altbau', 'Dachgeschoss', 'möbliert', 'Badewanne', 'Parkett, Fliesen', 'Bewohnerparken', '2 Minuten zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Terrasse, Balkon']","This luxurius 2-room apartment located in a beautiful representative Altbau in Kreuzberg is now available. A newly built extension floor on the top of the building, this offers the charm and beauty of an Altbau exterior, with all the modern luxury and building quality of a new apartment. 
 
The apartment comes furnished and with internet. A fully equipped built-in kitchen, with everything you need for cooking: oven, fridge, microwave and dishwasher. Stylish and modern furnishing throughout the apartment offer a luxury living experience. All costs and expenses are included in the total price for all utilities and services. 
 
A special highlight are the balcony and the large terrace, offering a further 40+ square meters of space for relaxing and entertainment in addition to the 70 square meters of living space.","The apartment is located amidst famous Bergmann-Kiez, in close proximity to Mehringdamm and Bergmannstraße, surrounded by an array of supermarkets, bars, cafes and restaurants in a vibrant area. Several public trasport options are only a stone's throw away, most notably the U7 underground station of Gneisenaustraße.","Explore our new website www.berlin99.com. 
 
The price includes all costs for furniture, electricity and gas usage, hot and cold water, as well as high speed internet. You are very much allowed to register at those apartments, as it a legal requirement. 
 
For further details and viewings, please contact us at info(at)berlin99.com or give us a call.",
2,Spacious Elegant Apartment on the Canal in Kreuzkölln,https://img.wg-gesucht.de/media/up/2019/02/97e34705a9ba9168c2413e8edacf15beba7f397bc5669f289af2cf32ce00fc8a_IMG_4431.sized.JPG,https://www.wg-gesucht.de/wohnungen-in-Berlin-Kreuzberg.6931563.html,70.0,500.0,2.0,500.0,n.a.,n.a.,,"Paul-Lincke-Ufer, 10999 Berlin Kreuzberg",20.06.2020,02.07.2020,10 Minuten,"['Altbau', '3. OG', 'möbliert', 'Badewanne, Dusche', 'Parkett', 'Gasheizung', 'schlechte Parkmöglichkeiten', '5 Minuten zu Fuß entfernt', 'Waschmaschine, Fahrradkeller']","We are going away and are renting out our lovely 70m2 apartment for the stated duration. The flat has two rooms (spacious living room, bedroom with a queen sized bed + linens) + newly renovated kitchen with all equipment + bathroom with towels etc.  
 
It's rented fully furnished and a great fit for a couple or a single person.  
 
No deposit, dates arent flexible","The flat is located on the beautiful Paul-Lincke-Ufer, in the hinterhaus of a building directly on the canal.  Its virtually next door to the famous Cocolo Ramen and other popular places like Concierge coffee and Lugosi Bar among plenty others.   
 
There is the famous and fun Gorlitzerparc and you're only an 5 minute walk from the vibrant Kottbuser Tor area. 
 
Transport: You are a 5 min walk from 3 metro stops on the U1 and U8 metro lines as well as numerous bus lines.",,
3,3 Zi Whg EBK Tageslichtbad Stellplatz möbliert mit Anmeldung,https://img.wg-gesucht.de/media/up/2020/22/f1890b5ec2d29e7041e31ee5d860f76cb51994bde90671fc49a2196d9011ba89_3A8A5965_3244_421D_9A03_3DC6D24DB4BA.sized.png,https://www.wg-gesucht.de/wohnungen-in-Berlin-Pankow.8029753.html,74.0,1600.0,3.0,1400.0,200.0,0.0,2400.0,"Friedrich-Engels-Str. 176, 13158 Berlin Pankow",12.06.2020,,27 Minuten,"['Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.', 'Bedarfsausweis, V: 98kW h/(m&sup2a), Gas, Baujahr 1970, Energieeffizienzklasse A', 'WG geeignet', 'Mehrfamilienhaus', 'EG', 'möbliert', 'Dusche', 'Satellit', 'Teppich', 'Ökostrom', 'Gasheizung', 'eigener Parkplatz', '1 Minute zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Balkon, Gartenmitbenutzung']","For English see bellow. 
Die Wohnung befindet sich im Pankow Rosenthal. Vor der Tür hält die Tram und gegenüber ist der REWE. Das große Schlafzimmer ist möbliert. Die Couchgarnitur für das Wohnzimmer ist in der Nebenwohnung und wird vor dem Einzug dahin gebracht, das gilt auch für den Fernseher. Wenn eigenen Möbel gebracht werden ist auch kein Problem. Das kleinere Zimmer ist derzeit leer, kann als Büro, Gäste- oder Kinderzimmer genutzt werden. Die EBK ist voll ausgestattet, es gibt einen Stellplatz zu der Wohnung und das Bad hat eigenes Fenster. Über das eine Zimmer erreicht man einen süßen Balkon. Kein Durchgangzimmer. 
 
Der Garten kann mitbenutzt werden. Ab September ziehen wir auch in das Haus und bewohnen dann die Wohnung im 1. OG. Wir haben einen fast 2 jährigen Sohn und wünschen uns eine Familie mit Kind/er als Mieter/Nachbarn, damit die Kinder gemeinsam spielen. Mieter, deren Kosten von jeglichen Ämtern getragen werden, sind unerwünscht. Studenten oder junge berufstätige Paare auch gerne. Wenn noch Fragen sind, bitte schreibt mich an. 
 
This 3 room apartment is located in Pankow Rosanthal. There is a REWE Supermarket just some meters from the house and the tram stops in front of the house. The kitchen is fully equiped. The one bedroom also, the other one is empty and can be equieped as office, guest room ot a kids room. The bathroom has a window and the ohne of the rooms a nice balcony. There is aparking slot for that apartment.  
 
We are going to move to the apartment in the second floor in September and we have a 2 years old son who whish to have a buddy as neighbour :) The apramenrt can be rented from studentst/young couples. We do not accept any tenant who get the rent payed from an authority.","Die Wohnung befindet sich im Pankow Rosenthal. Vor der Tür hält die Tram und gegenüber ist der REWE. NIcht weit ist auch eine Bushaltestelle, die direkt zu S Bahn Wilhelmsruh führt. Es ist eine ruhige Gegend und sehr kinder/familienfreundlich.  
 
Die Immobilie verfügt über einen großen und gepflegten Garten, dieser kann mitbenutzt werden. Ab September ziehen wir auch in das Haus und bewohnen dann die Wohnung im 2.OG. Wir haben einen 2 jährigen Sohn und wünschen uns eine Familie mit Kind/er als Mieter/Nachbarn, damit die Kinder gemeinsam spielen. Mieter, deren Kosten von jeglichen Ämtern getragen werden, sind unerwünscht. Studenten oder junge berufstätige Paare auch gerne. Wenn noch Fragen sind, bitte schriebt mich an. You can contact me also in English.","Der Garten kann mitbenutzt werden. Ab September ziehen wir auch in das Haus und bewohnen dann die Wohnung im 1. OG. Wir haben einen fast 2 jährigen Sohn und wünschen uns eine Familie mit Kind/er als Mieter/Nachbarn, damit die Kinder gemeinsam spielen. Mieter, deren Kosten von jeglichen Ämtern getragen werden, sind unerwünscht. Studenten oder junge berufstätige Paare auch gerne. Wenn noch Fragen sind, bitte schreibt mich an. 
 
This 3 room apartment is located in Pankow Rosanthal. There is a REWE Supermarket just some meters from the house and the tram stops in front of the house. The kitchen is fully equiped. The one bedroom also, the other one is empty and can be equieped as office, guest room ot a kids room. The bathroom has a window and the ohne of the rooms a nice balcony. There is aparking slot for that apartment.  
 
We are going to move to the apartment in the second floor in September and we have a 2 years old son who whish to have a buddy as neighbour :) The apramenrt can be rented from studentst/young couples. We do not accept any tenant who get the rent payed from an authority.",0.0
4,Furnished semi-studio apartment in Friedrichshain (DZS2),https://img.wg-gesucht.de/media/up/2018/15/85f537c466419030_fullsizerender.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Friedrichshain.6641903.html,41.0,900.0,1.0,900.0,n.a.,0.0,900.0,"Dolziger Straße 2, 10247 Berlin Friedrichshain",29.06.2020,29.06.2022,35 Minuten,"['Altbau', '1. OG', 'möbliert', 'Badewanne', 'Laminat, Fliesen', 'Zentralheizung', 'gute Parkmöglichkeiten', '2 Minuten zu Fuß entfernt', 'Waschmaschine']","This fully furnished apartment in Friedrichshain is becoming available in late June. It is located on the first floor in the side wing of a typical Berlin Altbau.  
 
WG-gesucht does not let you specify 1.5 rooms, to clarify - the apartment has a semi-divided living and sleeping area and comes equipped with a built-in kitchen, and everything you need. All costs and expenses are included in the total price for all utilities and services, etc.","The area offers great transport links to all over the city. It also benefits from having the tram which is a creation of the former east. Nevertheless, for many in this area the bicycle is the chosen form of transport. Friedrichshain and most of Berlin´s flat and wide streets offer cyclists the quickest way to move around the city. It is in Friedrichshain, therefore perfect if you want to discover the buzzing cultural (night)life of Berlin´s eastern disctricts but close enough to the geographical center and major business hotspots. If you are in the mood to go out, many clubs are within walking distance. It's also not far from Ostrkreuz, Alexanderplatz, Potsdamer Platz, Friedrichstraße etc.","Explore our new website www.berlin99.com. 
 
The price includes all furniture, electricity and gas usage, hot and cold water, as well as high speed internet. You are very much allowed to register at those apartments, as it a legal requirement. 
 
For further details and viewings, please contact us at info(at)berlin99.com or give us a call.",0.0
5,Wohnung 5: Nett möblierte 2-Zimmer-Wohnung - WiFi - unbefristet - mit Anmeldung,https://img.wg-gesucht.de/media/up/2020/23/2a39fa13fb7cdd20e25802eabe1a4a814b7917b09df5dc1a59ba0385552ca3f8_20190307_134053.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Pankow.8041530.html,45.0,1100.0,2.0,990.0,110.0,n.a.,3300.0,"Garibaldistraße 41, 13158 Berlin Pankow",01.07.2020,,36 Minuten,"['Ab dem 1. Mai 2014 ist die neue Energieeinsparverordnung (EnEV 2014) rechtswirksam. Immobilieninserate müssen seitdem zusätzliche Angaben zu energetischen Eigenschaften enthalten. Liegt noch kein Energieausweis vor, entfällt die Pflicht. Für denkmalgeschützte Häuser und Gebäude mit weniger als 50 Quadratmetern Nutzfläche ist kein Energieausweis nötig.', 'Bedarfsausweis, V: 40kW h/(m&sup2a), Gas, Baujahr 1880, Energieeffizienzklasse A', 'WG geeignet', 'sanierter Altbau', '1. OG', 'möbliert', 'Eigene Küche', 'Dusche', 'Kabel', 'Laminat', 'Zentralheizung', 'gute Parkmöglichkeiten', '5 Minuten zu Fuß entfernt', 'Waschmaschine, Spülmaschine, Balkon']","Please read for the English version below. 
 
Das Gebäude wurde gerade renoviert!  
Super schöne helle Wohnung, ruhig, modern, vollständig ausgestattet. Kommen und gleich Wohnen! 
Zimmer: ausgestattet mit einem Schrank, Bett oder Klappcouch, Schreibtisch, Stuhl, Kissen, Decken, Lampen .... 
Küche: moderne Einbauküche mit Schränken, Kühlschrank, Geschirrspüler, Cerankochfeld, Dunstabzug, Backofen, Spüle, Esstisch mit Stühlen, kleine Couch 
Balkon: mit Stühlen und Tisch 
Korridor: Garderobe, Spiegel 
Sonstiges: WLAN, Fernsehgerät, Staubsauger, Bügeleisen, Bügelbrett, Fön, Geschirr für 6 Personen, Pfanne, Kochtöpfe, Müllsammler 
Weitere Ausstattung: Handtücher groß und klein, Bettwäsche auf Wunsch 
Mietzeit unbegrenzt, aber mindestens 12 Monate. 
 
We just finished reconstruction of this house. 
Super nice modern apartment is in a quiet place and is completely furnished. You can immediately start living here. 
Rooms: have a wardrobe, either a bed of a folding couch, desk and a chair, Lamp, pillow and blanket … 
Kitchen: equipped kitchen with refrigerator, cupboards, shelves, dishwasher, ceramic hob, extractor, oven, sink, dining table and chairs, small couch 
Balcony: with two chairs and a table 
Corridor: wardrobe and mirror 
And: Wi-Fi, TV, vacuum cleaner, iron, ironing board, hairdryer, crockery for 6 people, pan, cooking pots, garbage collector, towels big and small, sheets on request 
We look for long-term tenants.","Please read for the English version below. 
 
Lage: sehr ruhig, ein Park ist gegenüber, eine Bushaltestelle 3 Minuten entfernt. 
S-Bahn Anbindung über S1 und S26. 
S-Bahnhof ""Wilhelmsruh"" zu Fuß in 7 Minuten zu erreichen.  
 
The location is in a quite place with a public park on the other side of the street. 
S-Bahn connection with S1 and S26. Station ""Wilhelmsruh"" is within 7 minutes walking distance. 
A bus station is within 3 minutes walking around the corner.","Besichtigung bitte einen Besichtigungstermin vereinbaren! 
Wir freuen uns auf Ihr Interesse! 
 
Schauen Sie sich die Wohnung über Video an (ähnliche Ausstattung, gleicher Grundriss): 
Please take a look at the apartment in the video (similar amenities, same floor plan): 
https://drive.google.com/file/d/1kGZo6bdmbgd35Z5AvDGN6iebzbAvbXvN/view?usp=drivesdk",
6,"Charlottenburg-Westend/Grunewald, neu renovierte Souterrainwohnung mit Garten in Altbau-Villa",https://img.wg-gesucht.de/media/up/2020/17/73124fc08db11ac39e41b537ab349bf5f5d48ae3f822d9f684d1660131c959e9_158834679162562557860.sized.JPEG,https://www.wg-gesucht.de/wohnungen-in-Berlin-Charlottenburg.3871878.html,116.0,1052.0,4.0,812.0,240.0,n.a.,2436.0,"Heerstraße, 14055 Berlin Charlottenburg",15.06.2020,,40 Minuten,"['WG geeignet', 'Altbau', 'Tiefparterre', 'Badewanne, Gäste WC', 'Zentralheizung', 'gute Parkmöglichkeiten', '1 Minute zu Fuß entfernt', 'Gartenmitbenutzung']","Die weitläufige 4-Zimmerwohnung zuzüglich Hobbyraum liegt im Souterrain einer Altbau-Villa. Sie ist nach Westen, Norden und Osten ausgerichtet. Die Rundbogenfenster verleihen der Wohnung Charme. Man blickt direkt in den Garten. Ein Gartenteil wird mitgenutzt und gepflegt. Die Wohnung wird Öl-zentralbeheizt. Warmwasser dezentral über Elektro-Durchlauferhitzer. Die Küche ist eine große Wohnküche mit gefliestem Boden. Das geflieste Wannen-Bad und das Gäste-WC haben einen einfachen Standard, aber beide mit Fenster. -  Die Teppichboden-Auslegeware kann als Unterlage für eigene Auslegeware genutzt werden. -Die Wohnung wäre auch für eine ruhige 2-er WG geeignet. - Die kalten Betriebskosten lassen sich durch Eigenarbeit reduzieren. 
Die Wohnung ist für maximal drei Personen geeignet, bzw. bei WG-Nutzung für zwei Personen. 
Die Mindest-Miedauer beträgt drei Jahre. 
Die gesamte Wohnung ist malermäßig frisch renoviert.","Die Wohnung ist in Charlottenburg-Westend an der Heerstraße aber doch ruhig zwischen Olympiastadion und S-Bahnhof Heerstraße nahe dem Grunewald (2 Querstraßen entfernt)und dem Teufelsberg gelegen. 
  
Nahe gelegene Bushaltestelle (mit dem Bus M 49 sind es 20 Min. bis Bahnhof Zoo), 3 Haltestellen bis U-Bahnhof Theodor-Heuss-Platz (U 2) und Messegelände, 1 Haltestelle bis S-Bahnhof Heerstraße (von dort direkte Verbindung nach Zoo und Mitte und Flughafen Schönefeld (S 3, S 9)). 
 
Mit dem Auto 5 Minunten bis zur Stadtautobahnauffahrt Messedamm und zur Avus. 
 
Exzellente Wohnlage im Grünen und doch nahe dem Zentrum.",Die Vermietung soll langfristig erfolgen.,
7,2 room apartment in Kreuzberg (Anmeldung possible),https://img.wg-gesucht.de/media/up/2020/22/5176561b1dce94e313cac76d5807fa3c22d9d6f754cb1f80a50de74072df6c70_IMG_20200604_163305.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Kreuzberg.8031330.html,50.0,780.0,3.0,780.0,0.0,0.0,1500.0,"Großbeerenstr., 10963 Berlin Kreuzberg",10.06.2020,,52 Minuten,"['WG geeignet', 'Altbau', '4. OG', 'möbliert', 'Eigene Küche', 'Dusche', 'Teppich', 'Gasheizung', 'schlechte Parkmöglichkeiten', '3 Minuten zu Fuß entfernt', 'Waschmaschine']","Simple apartment with 2 bedrooms and kitchen located between the Bergmannkiez and the Potsdamer Platz in Kreuzberg. It's not the Ritz Carlton, but if you're looking for a cheap place in pretty much the coolest area of Berlin, you found it! 4th floor, no elevator.  
 
The apartment includes the following: 
 
-Laundry machine 
-Fridge 
-Oven and stovetop 
-2 double beds 
-Closets 
-Hair dryer 
-Coffee machine 
-Dishes & cooking ware 
 
-WiFi (100MBit/s Up -- 50 MBit/s Down. 5GHZ) 
 
-42"" flat screen TV with Chromecast 
 
-Fresh towels & bed-linen","The U-Bahn station Mockernbrücke (U1 & U7) is only 3 minute away by foot. 
 
Increase your fitness while in Berlin, the apartment is on the 4th floor without an elevator (yep that's how they built this building in 1860)   
 
Clubs, cheap restaurants, cool bars and two beautiful parks are next to the apartment. You will love this very Kreuzberg area of Berlin. Many different S & U Bahn lines within few minutes of walking.","I live next door. You have your own entrance, own kitchen, own bathroom and the bedrooms can be locked. I have access to the kitchen in order to use the washing machine during the day and for maintenance. 
 
You can and should do an Anmeldung for the address when you're staying here. NON SMOKING! 
 
No smoking!!! No parties. No subletting. Pets only after inquiry. Max. 2 residents! In order to make sure you read all of that please include the text ""thorough11"" in your message :) 
 
Online viewing available.",0.0
8,SWAP ONLY - NUR TAUSCH! Hamburg Ottensen für Berlin Arkonaplatz,https://img.wg-gesucht.de/media/up/2020/07/b3a4c81f2949e4689f7cd1c624ec1405b5b8fedb7047a82a3538bc11d471ae53_SAM_1864.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Mitte.7862009.html,64.0,916.0,2.0,786.0,130.0,n.a.,2660.0,"Arkonaplatz, 10435 Berlin Mitte",01.08.2020,,1 Stunde,"['Altbau', '2. OG', 'Eigene Küche', 'Badewanne', 'Parkett, Fliesen', 'Ökostrom', 'Fernwärme', 'Bewohnerparken', '5 Minuten zu Fuß entfernt', 'Spülmaschine, Balkon, Gartenmitbenutzung, Keller, Fahrradkeller']","SWAP ONLY! Ich tausche meine wunderschöne ruhige Altbauwohnung mit großem Balkon und Badewanne am beliebten Arkonaplatz gegen eine ruhige 2-3 Zimmer Altbauwohnung in Hamburg-Ottensen. Bitte schicken Sie mir nur Angebote für diesen Hamburger Stadtteil. 
 
Bei meinem Einzug habe ich Parket verlegen und die Wände abziehen lassen, sowie die Einbauküche übernommen; für alles zusammen nehme ich 1000,- EUR Abstand. Weitere Fotos bei passenden Angeboten. 
 
NUR Tausch NUR mit Wohnung (kein EG, gerne Balkon, Dielenboden / Parkett bevorzugt) in HH-OTTENSEN für 1000,- EUR warm mtl. (VB). Bitte schicken Sie mir nur nur Tauschangebote für diesen Hamburger Stadtteil. Datum ist flexibel, ab dem 1.9. ist möglich, eventuell aber auch zu einem späteren Zeitpunkt. Am Ende entscheidet natürlich der Vermieter.",,,1000.0
9,Spacious newly renovated 2 room apartment with balcony in Kreuzberg WS72,https://img.wg-gesucht.de/media/up/2019/02/889f284a3c93c9471ba426cdda2a9432b4c421cadcaf22d6c1260dcb94b52062__DSC0623.sized.jpg,https://www.wg-gesucht.de/wohnungen-in-Berlin-Kreuzberg.7097749.html,57.0,1100.0,2.0,1100.0,n.a.,n.a.,1100.0,"Wrangelstraße 72, 10997 Berlin Kreuzberg",09.06.2020,09.06.2022,1 Stunde,"['Altbau', '4. OG', 'möbliert', 'Badewanne', 'Laminat, PVC', 'Bewohnerparken', '3 Minuten zu Fuß entfernt', 'Waschmaschine, Balkon, Keller']","On offer is a beautifully furnished newly renovated apartment in the vibrant area of Wrangelkiez in Kreuzberg.  
The area is famed for it´s buzzing nightlife, cozy little cafes, all while providing a family friendly atmosphere. 
The lavish Görlitzer Park and historically famous East Side Gallery are within walking distance, as well as a number of smaller green squares and recreation grounds.  
 
The apartment itself is located in a clean Altbau and it comes fully furnished with all bills and internet included. It is ideal for a couple","The Berlin99 apartment hotspot and probably the most popular area among international people looking for furnished apartments in Berlin. The apartment is situated in a trendy neighbourhood, with a lot of clubs, bars and restaurants, two supermarkets in the same block and easy access to the Ubahn and bus. There are a lot of places to park your car close to the apartment.","Explore our new website www.berlin99.com. 
 
The price includes all furniture, electricity and gas usage, hot and cold water, as well as high speed internet. You are very much allowed to register at those apartments, as it a legal requirement. 
 
For further details and viewings, please contact us at info(at)berlin99.com.",
